album_id,album_date_created,album_date_released,album_favorites,album_listens,album_title,album_tracks,album_type,artist_name
1,11/26/2008 01:44:45 AM,01-05-2009,4,6073,AWOL - A Way Of Life,7,Album,AWOL
100,11/26/2008 01:55:44 AM,01-09-2009,0,5613,On Opaque Things,4,Album,Bird Names
1000,12-04-2008 09:28,10/26/2008,0,1092,DMBQ Live at 2008 Record Fair on WFMU Record Fair's Show on 10/26/2008,4,Live Performance,DMBQ
10000,09-05-2011 16:42,NA,0,1001,Live at CKUT on Montreal Sessions,1,Radio Program,Sundrips
10001,09-06-2011 00:02,01-01-2006,0,504,Ground's Dream Cosmic Love,1,Album,Uton
10002,09-06-2011 00:53,NA,0,2145,Trust Now,1,Album,Prince Rama
10003,09-06-2011 05:46,09-06-2011,1,24745,Or Up We Fall [LCL08],21,Album,Fanas
10007,09-06-2011 19:57,10-05-2010,0,480,Live at CKUT on Montreal Sessions,1,Radio Program,Chantale Laplante and Martine Crispo
10008,09-06-2011 22:18,09-07-2011,0,356,chamber music,1,Album,"barriere, garcía, gris"
10009,09-07-2011 08:45,NA,0,9705,My Song,4,Album,Audio K
10010,09-07-2011 12:32,07-01-2011,4,11511,Big Blood & The Wicked Hex,18,Album,Big Blood
10016,09-07-2011 16:25,8/31/2011,0,2985,"Live at WFMU on Irwin's show, Aug 31st 2011",8,Radio Program,Mary Lorson
10017,09-07-2011 17:04,9/30/2011,0,1493,"Julia Armant 7""",0,Album,Family Curse
10018,09-07-2011 18:00,07-04-2011,4,4795,Narrow Road to the Interior,7,Album,Angels in America
10019,09-08-2011 06:18,09-05-2011,0,2820,Bad Panda #98,2,Album,The Parish of Little Clifton
10020,09-08-2011 06:28,01-01-2007,0,17901,Background Music For Silence,2,Album,Uton
10024,09-08-2011 13:25,07-12-2011,0,2063,The Honor Bar,12,Album,The Unsacred Hearts
10025,09-08-2011 17:03,NA,3,6319,Live at WFMU on Scott Williams' show Sept 5th 2011,7,Radio Program,Angels in America
10027,09-10-2011 01:01,NA,0,4402,minusbaby - Singles,4,Single Tracks,minusbaby
10028,09-10-2011 01:11,01-01-2005,0,187,"Suoniin, Luihin, Ytimiin",1,Album,Uton
1003,12-04-2008 09:27,11-04-2008,1,6821,"Live on WFMU's Brian Turner Show, Election Day 2008",0,Radio Program,Killdozer
10031,09-12-2011 12:45,NA,0,1398,motubachii,2,Album,Annette Krebs/Taku Unami
10032,9/13/2011 09:32:01 AM,NA,0,2699,Au préau,2,Album,Rock Monsieur
10033,9/13/2011 12:00:05 PM,NA,0,3980,"2010-02-19 Live @ The Garrison, Toronto, Canada",3,Live Performance,Nadja
10034,9/13/2011 01:25:54 PM,9/13/2011,0,8366,junior85 live,8,Album,junior85
10035,9/13/2011 04:28:18 PM,9/13/2011,0,2181,Behaviour state,8,Album,DEREK PIOTR / SALAKAPAKKA SOUND SYSTEM
10036,9/13/2011 04:54:21 PM,NA,0,2007,mystical v,5,NA,uiutna
10037,9/13/2011 07:04:13 PM,07-08-2009,0,7809,Live at the OCCII,6,Live Performance,Zydepunks
10038,9/13/2011 08:25:18 PM,NA,0,1742,Live at Pacific Parc 17/01/2009,9,Live Performance,Bonaparte
10039,9/14/2011 10:42:55 AM,9/15/2011,3,5379,Hesperos,6,Album,Adriano Orru
1004,12-04-2008 09:28,11-06-2008,0,2533,Live at WFMU on Diane's Show on 11/6/2008,7,Live Performance,Triclops!
10041,9/14/2011 11:34:55 AM,09-07-2011,0,8092,"Live at WFMU on Evan ""Funk"" Davies Show on September 7, 2011",11,Radio Program,The Cute Lepers
10042,9/14/2011 12:15:09 PM,8/28/2011,0,1393,"Live at WFMU on Beastin' The Airwaves! with Keili on August 28, 2011",4,Radio Program,Hooves
10044,9/14/2011 12:56:44 PM,09-08-2011,0,5616,"Live at WFMU on Three Chord Monte with Joe Belock on September 8, 2011",8,Radio Program,Sally Crewe And the Sudden Moves
10049,9/14/2011 07:09:40 PM,5/15/2015,4,121760,The Dark Glow of the Mountains,5,Album,Chris Zabriskie
1005,12-04-2008 09:27,11/16/2008,2,2337,Live at wfmu on Dan Bodah's Show on 11/16/2008,11,Radio Program,Larkin Grimm
10050,9/14/2011 07:25:25 PM,03-10-2009,13,283573,I Am a Man Who Will Fight for Your Honor,7,Album,Chris Zabriskie
10051,9/14/2011 07:28:55 PM,10-11-2011,1,2992,Growing Over,1,Album,Sex Church
10052,9/14/2011 07:41:50 PM,9/22/2009,25,1013245,Preludes,23,Album,Chris Zabriskie
10053,9/14/2011 07:55:50 PM,08-10-2010,10,615353,Vendaface,5,Album,Chris Zabriskie
10057,9/14/2011 08:49:50 PM,1/13/2011,4,137744,Stunt Island,4,Album,Chris Zabriskie
10058,9/14/2011 09:03:03 PM,7/18/2011,21,575418,Divider,6,Album,Chris Zabriskie
1006,12-04-2008 09:28,11-10-2008,0,845,Live at WFMU on Irene Trudel's Show on 11/10/2008,4,Live Performance,Micah Blue Smaldone
10061,9/15/2011 07:51:49 AM,NA,1,6725,"Life On Earth is Pure and Golden, Life on Earth is Hell on Earth",10,Album,Sam Gas Can
10062,9/15/2011 12:33:36 PM,5/24/2011,5,19639,EP One,5,Album,The Easton Ellises
10064,9/16/2011 05:17:54 AM,09-12-2011,0,4313,Beach Flats,3,Album,Nineteen Eight Eight
10065,9/16/2011 06:44:02 AM,09-12-2011,0,1305,The Elements Inside Two Circles,4,Live Performance,Black Forest Orchestra
10066,9/16/2011 08:22:52 AM,9/16/2011,1,4246,Birds and Bats,4,Album,Louis Minus Seize
10067,9/16/2011 03:04:06 PM,9/16/2011,0,2133,Freedom as mama told me,15,Album,Asian Women on the Telephone
10068,9/17/2011 10:22:37 AM,NA,0,1481,la Magie d internet,1,Album,Ultra Kabron
10069,9/17/2011 06:39:39 PM,9/17/2011,1,8884,Go On,2,Album,Morgan Sadler
1007,12-04-2008 09:27,11/18/2008,0,2932,Hank IV Live at WFMU on Brian's Show on 11/18/2008,12,Radio Program,Hank IV
10070,9/18/2011 01:22:58 AM,NA,0,2555,Life-Size Cut-Out,4,NA,Harpoon Forever
10071,9/18/2011 02:36:30 AM,NA,0,656,Look Forward to Nothing,2,Album,Kitchen's Floor
10073,9/18/2011 03:56:49 AM,NA,0,1302,A solar rush towards a treble heaven,1,Album,Scattered Order
10074,9/18/2011 04:53:46 AM,NA,0,815,OLD DEMO NEW MIX,1,Album,Rat King
10075,9/18/2011 06:51:43 AM,9/18/2011,0,7015,Ergo's Disco Van Dango,6,Album,Ergo Phizmiz
10076,9/18/2011 10:14:29 AM,10-06-2006,1,6507,Digital Primitives,3,Album,Digital Primitives
10077,9/18/2011 11:06:57 AM,08-06-2003,2,10769,America,3,Album,Digital Primitives
10078,9/18/2011 11:35:14 AM,01-01-2006,0,2093,Sea Of Lead,3,Album,Agusti Fernandez
10079,9/18/2011 11:37:21 AM,06-08-2005,0,4987,Solitude,4,Album,Assif Tsahar
10080,9/18/2011 06:57:56 PM,9/13/2011,0,96761,Chaotic-Life-Fin,9,Album,Jared C. Balogh
10082,9/19/2011 06:25:57 AM,NA,0,1552,Last Night I Saw Everything In Slow Motion (Single),1,Album,Tank
10083,9/19/2011 07:00:21 AM,NA,0,502,Live - May 2011,1,Album,Mondo Phase Band
10084,9/19/2011 07:11:20 AM,NA,0,762,Rabbits In Space,1,Album,Furchick
10085,9/19/2011 07:33:09 AM,NA,0,455,Ladyz In Noyz Australia Volume 1,1,Album,onion
10086,9/19/2011 07:52:22 AM,NA,0,1512,Suddenly Ur In My Heart (Single),1,Album,Scraps
10087,9/19/2011 08:08:41 AM,NA,0,654,Life It's A Party (Single),1,Album,Chrome Dome
10088,9/19/2011 08:14:00 AM,NA,0,2365,Live at ISSUE 4/27/11,4,Live Performance,"Okkyung Lee with Tom Rainey, Liberty Ellman, and Skuli Sverrisson"
10089,9/19/2011 08:35:04 AM,NA,0,567,Ground Foot,1,Album,Caught Ship
10090,9/19/2011 08:48:13 AM,NA,0,778,Sweet Grillz Split,1,Album,Bare Grillz
10091,9/19/2011 10:31:03 AM,9/19/2011,2,7442,Vaporous Weeks,16,Album,Dissolved
10094,9/20/2011 01:52:59 AM,05-12-2011,0,554,Dead Excitement EP,1,Album,Coïtus Int.
10095,9/20/2011 10:50:20 AM,NA,0,2015,Live at Bottom of the Hill 8/22/2011,15,Live Performance,Obits
10096,9/20/2011 11:00:38 AM,NA,0,153,Live at NSC,1,Album,Superstar
10097,9/20/2011 11:13:28 AM,NA,0,461,Too Nugged To Drunk,1,Album,The Nugs
10098,9/20/2011 11:23:16 AM,NA,0,172,Isvolt,1,Album,HORSE MACGYVER
101,11/26/2008 01:55:47 AM,01-01-2007,0,2180,Wooden Lake Sexual Diner,3,Album,Bird Names
10100,9/20/2011 01:42:19 PM,10-11-2011,2,336,Clandestine Cassette Series # Two,1,Album,Nonhorse
10101,9/20/2011 01:53:24 PM,8/16/2011,1,1601,The Bridge (Featuring Sleaze),5,Album,Just Plain Ant
10104,9/20/2011 02:15:08 PM,9/13/2011,2,395,Nothing Begets Nothing EP,4,Album,Just Plain Ant
10105,9/20/2011 02:28:21 PM,09-06-2011,1,4053,[albumtitle],15,Album,Just Plain Ant
10106,9/20/2011 02:34:36 PM,10-11-2011,0,743,Silent Partner,1,Album,Neptune
10108,9/20/2011 03:02:34 PM,NA,1,656,Eleven Twenty-Nine,1,Album,Eleven Twenty-Nine
10109,9/20/2011 03:25:24 PM,NA,2,1929,Outdoor Spell,2,Album,Rhys Chatham
1011,12-04-2008 09:25,11-01-2003,0,2025,Live at WFMU on Terre T's Show on 11/1/2003,25,Live Performance,Measles Mumps Rubella
10111,9/21/2011 05:32:32 AM,9/20/2011,1,5232,EPP1,6,Album,Brandy Alexander Project + Laps
10112,9/21/2011 09:38:28 AM,9/19/2011,2,24000,Bad Panda #100,1,Album,Handbook
10113,9/21/2011 10:17:28 AM,9/21/2011,0,66840,Dissembler,12,Album,alright lover
10114,9/21/2011 11:50:32 AM,NA,0,4493,Live at The Satellite 8/24/2011,16,Live Performance,Obits
10115,9/21/2011 12:44:39 PM,09-05-2011,3,7144,"Live at WFMU on Irene Trudel's Show on September 5, 2011",8,Radio Program,Yair Yona
10116,9/21/2011 01:10:28 PM,07-01-2009,1,1849,S/T,1,Album,WOMAN
10117,9/21/2011 02:30:41 PM,9/16/2011,0,3317,"Live at WFMU on The Long Rally with Scott McDowell on September 16, 2011",4,Radio Program,Hans Chew
10118,9/21/2011 03:10:52 PM,9/20/2011,0,3503,"Live at WFMU on Marty McSorley's Show on September 20, 2011",9,Radio Program,No Babies
10119,9/21/2011 04:41:12 PM,9/13/2011,0,1699,"Live at WFMU on Marty McSorley's Show on September 13, 2011",8,Radio Program,High Castle
10120,9/22/2011 09:45:13 AM,NA,0,1205,Blonde Kid (Demo),1,Album,Mere Women
10121,9/22/2011 09:54:41 AM,NA,0,458,Siberia Flexi Postcard,1,Album,Kirin J Callinan
10123,9/24/2011 09:49:12 AM,9/24/2011,0,9713,Unusable Signal (Reissue),16,Album,Pilesar
10124,9/24/2011 11:40:00 AM,05-05-2011,1,12446,Hunted Like A Ghost Machine,15,Album,happiness in aeroplanes
10125,9/24/2011 11:49:32 AM,NA,3,149962,Another Position EP,6,Album,Morphamish
10126,9/24/2011 11:59:32 AM,NA,1,1085,Provocateur,4,Album,Opul
10127,9/24/2011 12:09:43 PM,NA,6,79376,Blue,11,Album,Mark Neil
10128,9/25/2011 01:24:54 PM,NA,1,5189,El VALS MEFISTO,3,Album,San Pedro El Cortez
10129,9/25/2011 07:16:36 PM,9/25/2011,0,4658,Favorites 01: Sebastian Blanck,10,Album,Benji Cossa
10131,9/26/2011 07:51:57 AM,NA,0,2180,la sieste de l aprés midi,7,Album,Efaï Héfaille
10132,9/27/2011 12:51:45 PM,5/27/2011,0,377,Demo - Live 5.12.11,5,Album,Cellular Chaos
10133,9/27/2011 02:46:36 PM,9/22/2011,3,2705,"Live at WFMU on Talk's Cheap with Jason Sigal September 22, 2011",9,Radio Program,The German Measles
10134,9/27/2011 03:12:23 PM,09-04-2011,3,19297,"Live at WFMU on Gaylord Fields' Show September 4, 2011",6,Radio Program,Bandana Splits
10135,9/27/2011 03:25:43 PM,6/21/2011,2,18064,People and Places,8,Album,FLT RSK
10136,9/27/2011 03:40:30 PM,9/27/2011,0,2515,WHNZ:32:ABRAMÁLAGA,8,Album,((( vlubä )))
10138,9/27/2011 04:09:26 PM,9/27/2011,3,39825,Ray - A Life Underwater,9,Album,junior85
10139,9/27/2011 05:09:45 PM,09-04-2011,0,5271,"Live at WFMU on Gaylord Fields' Show September 4, 2011",6,Radio Program,Ivy
10140,9/27/2011 06:04:06 PM,9/21/2011,1,11186,"Live at WFMU on Irwin's Show September 21, 2011",18,Radio Program,Mike Doughty
10141,9/28/2011 09:46:11 AM,08-01-2003,0,8956,JAM,3,Album,Assif Tsahar
10142,9/28/2011 09:50:36 AM,5/24/2000,0,11073,"deals, ideas, ideals",4,Album,Assif Tsahar
10143,9/28/2011 10:41:20 AM,08-01-2003,0,13011,Come sunday,3,Album,Assif Tsahar
10144,9/28/2011 10:47:04 AM,9/28/2011,0,10228,Embracing the void,3,Album,Assif Tsahar
10145,9/28/2011 11:01:05 AM,01-01-2005,0,1263,Lost brother,3,Album,Digital Primitives
10146,9/28/2011 12:49:35 PM,8/31/2011,0,1774,"Live at WFMU on Beastin' The Airwaves with Keili on August 31, 2011",18,Radio Program,Abstract Artimus
10148,9/28/2011 02:56:42 PM,9/27/2011,0,2510,"Live at WFMU on Marty McSorley's Show on September 27, 2011",6,Radio Program,Whitman
10150,9/28/2011 04:16:31 PM,10-01-2011,1,1247,"""Sex Drive"" b/w ""Patio Set"" 7""",1,Album,The Embarrassment
10153,9/28/2011 09:42:18 PM,07-12-2011,1,2869,Somewhere In Detroit,1,Live Performance,Telegraphy
10155,9/28/2011 10:20:36 PM,8/23/2011,3,4151,Tripping through runtime,8,Album,Valentina Vuksic
10157,9/29/2011 02:50:49 AM,01-01-2004,0,14334,Fragments,3,Album,Assif Tsahar
10158,9/29/2011 02:53:41 AM,01-01-1999,0,634,The Hollow World,3,Album,Assif Tsahar
10159,9/29/2011 02:56:13 AM,01-01-2002,0,792,The labyrinth,3,Album,Assif Tsahar
10160,9/29/2011 06:54:41 AM,NA,0,1142,L' Hémission de radio avec Hendrik & Hegray,1,Album,Sobak Morbak
10161,9/29/2011 08:29:29 AM,9/27/2011,1,619,a theory of possible utterance,4,Album,Alfredo Costa Monteiro & Tim Olive
10162,9/29/2011 08:50:12 AM,9/29/2011,0,1189,Rehearsal in Jogja,2,Album,Malaikat Dan Singa
10164,9/29/2011 10:13:51 AM,9/26/2011,0,3999,Bad Panda #101,3,Album,Steven Smirney
10165,9/29/2011 12:05:46 PM,1/29/2010,0,3336,Telegraphy E.P.,4,Album,Telegraphy
10167,9/29/2011 10:36:22 PM,10-01-2011,1,1777,"October 2011 Virtual Tour 7""",4,Album,Lame Drivers
10170,9/30/2011 01:24:02 AM,01-01-2009,1,41650,Hum crackle & pop,3,Album,Digital Primitives
10171,9/30/2011 02:31:56 AM,01-01-2005,0,5680,tells untold,3,Album,Digital Primitives
10172,9/30/2011 02:56:59 AM,01-01-2002,2,568,Ayn le any,3,Album,Assif Tsahar
10174,9/30/2011 12:22:51 PM,9/19/2011,2,40338,Diagnosis: Success,24,Album,K. Sparks
10176,9/30/2011 03:38:12 PM,NA,1,2495,#NAME?,3,Album,Mal(A.Ventura)2
10178,10-01-2011 01:48,01-01-2000,0,6176,Deep In The Neighborhood Of History And Influence,5,Album,Cooper-Moore
10179,10-01-2011 02:04,01-01-2006,0,8440,Outtakes 1978,3,Album,Cooper-Moore
10180,10-01-2011 13:08,NA,0,775,"Live at Cafe OTO, 18 October 2010",1,Live Performance,Chris Forsyth
10182,10-01-2011 15:35,NA,1,13156,Solo Dja Kabaco,4,Album,FESTI 40 music festival
10185,10-02-2011 22:04,NA,0,826,PRESS RECORD,25,Album,DC9V
